Date/Time,Electricity:Facility [J](Hourly),Res_lighting:InteriorLights:Electricity [J](Hourly),NonRes_lighting:InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Appliances:InteriorEquipment:Electricity [J](Hourly),Misc_Loads:InteriorEquipment:Electricity [J](Hourly) ,DHW:NaturalGas [J](Hourly) 
 06/23  04:00:00,28016062.43,830800.7825,517042.646,280883.0674,4866540.798,0,487514.3791,5117958.396,12192483.31,5889464.268
 06/23  05:00:00,33856635.93,2279736.903,1418531.518,541577.513,4672269.561,2339574.388,506218.399,5709190.717,12573498.41,6565646.868
 06/23  06:00:00,43109046.49,5352080.363,3330397.965,0,5747338.11,1782945.791,538393.5668,8346676.277,14097558.82,9661306.343
 06/23  07:00:00,143405453.8,6772905.533,4214493.236,0,5736960.79,1492983.951,408445.7418,11944354.47,16002634.34,13972009.29
 06/23  08:00:00,64174386.38,7197625.315,4478852.138,0,6159689.461,308137.2389,512314.5167,14255140.77,16383649.44,16979109.09
 06/23  09:00:00,49717071.01,7398679.716,4603943.1,0,168607.6381,187360.3186,315164.4415,16732667.93,16383649.44,20306139.04
 06/23  10:00:00,49120372.28,7197472.538,4478733.003,0,500108.4076,125735.4286,326722.1447,17226875.84,16383649.44,21208387.08
 06/23  11:00:00,50269261.54,6918807.473,4305273.535,0,588259.5282,67761.20602,329312.4626,18294503.06,16764664.55,22403439.72
 06/23  12:00:00,50629888.88,6717600.295,4180063.438,0,694737.0982,151024.9926,334066.8238,18347026.87,17145679.65,22192060.08
 06/23  13:00:00,49123122.01,6658475.635,4143250.955,0,1127062.17,0,347561.7165,16548881.86,17145679.65,20096589.08
 06/23  14:00:00,50186363.81,6738836.284,4193287.34,0,2497839.716,0,396275.107,16394790.72,16764664.55,19517746.54
 06/23  15:00:00,53465942.13,7264541.597,4520429.991,0,4987886.712,0,487223.2181,15567248.51,17526694.75,18843393.63
 06/23  16:00:00,63583888.93,8764199.648,5453608.573,0,7708195.656,0,586770.478,19552403.99,18288724.96,22623832.05
 06/23  17:00:00,99115090.77,11596225.04,7215842.403,0,30666560.3,0,1437517.003,25127470.36,19812785.37,28223268.32
 06/23  18:00:00,92843129.97,14507388.88,9027397.812,0,22684476.01,0,1142727.694,22023769.07,20193800.48,25025564.13
 06/23  19:00:00,86406032.6,15124913.11,9411605.769,0,18106261,0,975508.6268,20409960.53,19050755.17,24841359.5
 06/23  20:00:00,75993088.49,12856328.92,7999984.038,3385858.902,15211755.58,0,869134.2274,14391187.91,17907709.86,17385324.33
 06/23  21:00:00,68304313.6,9736013.51,6058334.027,4074726.991,13615537.59,0,810106.9041,13605138.97,17145679.65,16667514.41
 06/23  22:00:00,123566668.4,8377215.761,5212719.119,3076769.657,11700372.97,0,740326.565,11419600.26,15240604.13,14023801.79
 06/23  23:00:00,47108282.76,3762436.718,2341226.286,1370171.315,10067153.13,0,602995.2699,8335414.729,13716543.72,10039979.69
 06/23  24:00:00,35600269.07,1868155.934,1162512.014,680348.5344,8704904.594,0,629513.6189,6254303.269,13335528.62,7347505.014
 06/24  01:00:00,31829252.95,1120924.116,697531.0351,408209.1206,7522522.263,0,585787.6224,5837054.51,12573498.41,6800579.199
 06/24  02:00:00,29238552.43,747231.8182,464980.9787,272139.4137,6659752.798,0,553879.0788,5173071.135,12192483.31,6015956.032
 06/24  03:00:00,27911090.33,747231.8182,464980.9787,272139.4137,6046906.024,0,531210.1248,4780255.869,11811468.2,5502500.974
