Date/Time,Misc_Loads:InteriorEquipment:Electricity [J](Hourly),Electricity:Facility [J](Hourly),Res_lighting:InteriorLights:Electricity [J](Hourly),NonRes_lighting:InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Appliances:InteriorEquipment:Electricity [J](Hourly) ,DHW:NaturalGas [J](Hourly) 
 02/13  08:00:00,24323230.19,73044109.63,17103223.81,5334784.892,2443406.578,296582.9746,9760017.786,152308.6802,13630554.72,13630554.72
 02/13  09:00:00,24902354.72,80153968.86,18175923.3,5669378.01,2584077.338,213466.1979,6861050.925,109788.9083,21637929.21,21637929.21
 02/13  10:00:00,24902354.72,77771219.09,18683578.11,5827724.136,2644024.494,26118.4767,5543423.261,83782.97869,20060212.67,20060212.67
 02/13  11:00:00,24902354.72,76431471.74,18175584.49,5669272.33,2571451.336,34580.17999,4148836.821,62457.02745,20866932.51,20866932.51
 02/13  12:00:00,25481479.25,76388358.5,17471773.1,5449741.649,2470903.194,50485.68593,3185435.369,48369.95033,22230170.31,22230170.31
 02/13  13:00:00,26060603.77,75898396.13,16963779.47,5291289.843,2398330.036,72372.86048,2962135.168,45153.6226,22104731.35,22104731.35
 02/13  14:00:00,26060603.77,71937494.76,16814294.9,5244663.075,2376974.32,95829.31165,1541421.788,25701.83193,19778005.76,19778005.76
 02/13  15:00:00,25481479.25,70375999.24,17017381.44,5308009.202,2391313.391,122396.5284,612062.7943,12938.27638,19430417.82,19430417.82
 02/13  16:00:00,26639728.3,72103534.81,18344809.79,5722056.565,2498728.352,338020.8366,36091.00652,10725.20673,18513374.69,18513374.69
 02/13  17:00:00,27797977.36,83362392.93,22132002.26,6903345.977,2845264.53,458979.5773,0,13730.82786,23211092.09,23211092.09
 02/13  18:00:00,30114475.47,109470211.8,29283350.55,9133972.506,3622555.945,6701700.5,502143.5526,204584.6599,29907428.13,29907428.13
 02/13  19:00:00,30693600,117953075.7,36634904.16,11427046.47,4687055.576,7531071.677,787244.5329,237414.5297,25954738.8,25954738.8
 02/13  20:00:00,28956226.42,123438029.9,38194225.01,11913425.02,5369331.349,8391324.643,0,252404.3426,30361092.35,30361092.35
 02/13  21:00:00,27218852.83,98388934.51,32465634.81,10126580.81,5085296.064,6582693.463,27975.41414,199467.917,16682433.07,16682433.07
 02/13  22:00:00,26060603.77,84185604.13,24585954.75,7668775.278,4089467.377,5232407.605,595795.4081,167597.4792,15785002.36,15785002.36
 02/13  23:00:00,23164981.13,72508585.08,21154495.1,6598444.953,3606194.078,3571911.754,1272319.639,126935.6661,13013302.76,13013302.76
 02/13  24:00:00,20848483.02,45629617.6,9501203.977,2963586.28,1370171.315,1873714.715,0,56261.33772,9016196.937,9016196.937
 02/14  01:00:00,20269358.49,34524216.24,4717753.269,1471547.069,680348.5344,1082729.671,0,32238.86293,6270240.348,6270240.348
 02/14  02:00:00,19111109.43,29461363.77,2830651.962,882928.2412,408209.1206,665811.0741,0,19594.5087,5543059.427,5543059.427
 02/14  03:00:00,18531984.91,26587553.92,1887101.308,588618.8275,272139.4137,497043.6045,0,14399.7774,4796266.081,4796266.081
 02/14  04:00:00,17952860.38,25563177.05,1887101.308,588618.8275,272139.4137,354503.5852,112377.2636,11865.99293,4383710.282,4383710.282
 02/14  05:00:00,18531984.91,28306526.07,2098031.992,654411.6769,301001.6125,211649.0204,1544074.247,30730.34575,4934642.27,4934642.27
 02/14  06:00:00,19111109.43,48800013.21,5756753.656,1795628.869,822423.2989,155525.0134,15340028.22,123627.262,5694917.453,5694917.453
 02/14  07:00:00,21427607.55,72378117.34,13515268.45,4215640.906,1930822.878,350398.0404,21666679.71,248019.8031,9023679.63,9023679.63
 02/14  08:00:00,24323230.19,75712046.93,17103223.81,5334784.892,2443406.578,382877.1151,12310111,183858.6192,13630554.72,13630554.72
 02/14  09:00:00,24902354.72,78610862.88,18175923.3,5669378.01,2584077.338,285641.1941,7087427.772,116431.1892,19789628.76,19789628.76
 02/14  10:00:00,24902354.72,81688974.07,18683578.11,5827724.136,2644024.494,85159.01096,4905171.411,76297.80428,24564664.29,24564664.29
 02/14  11:00:00,24902354.72,81928911.11,18175584.49,5669272.33,2571451.336,138424.9329,3494854.688,56338.22246,26920630.29,26920630.29
 02/14  12:00:00,25481479.25,74945054.55,17471773.1,5449741.649,2470903.194,170685.9222,1640679.047,29622.08782,22230170.31,22230170.31
 02/14  13:00:00,26060603.77,74012570.36,16963779.47,5291289.843,2398330.036,225598.9167,947453.3301,20783.45626,22104731.35,22104731.35
 02/14  14:00:00,26060603.77,70640817.29,16814294.9,5244663.075,2376974.32,270694.1848,85075.92588,10505.20399,19778005.76,19778005.76
 02/14  15:00:00,25481479.25,70511033.65,17017381.44,5308009.202,2391313.391,856825.3205,0,25607.23702,19430417.82,19430417.82
 02/14  16:00:00,26639728.3,73007997.44,18344809.79,5722056.565,2498728.352,1251335.336,0,37964.40739,18513374.69,18513374.69
 02/14  17:00:00,27797977.36,84708925.57,22132002.26,6903345.977,2845264.53,1765727.77,0,53515.57966,23211092.09,23211092.09
 02/14  18:00:00,30114475.47,121105652.6,29283350.55,9133972.506,3622555.945,18374579.26,104153.7751,565136.7939,29907428.13,29907428.13
 02/14  19:00:00,30693600,125483845,36634904.16,11427046.47,4687055.576,15306583.93,300796.2022,479118.8181,25954738.8,25954738.8
 02/14  20:00:00,28956226.42,117365008.9,38194225.01,11913425.02,5369331.349,13116041.23,0,407390.5908,19408364.07,19408364.07
 02/14  21:00:00,27218852.83,102703271.2,32465634.81,10126580.81,5085296.064,10788770.84,0,335702.8141,16682433.07,16682433.07
 02/14  22:00:00,26060603.77,87198815.27,24585954.75,7668775.278,4089467.377,8737888.861,0,271122.8691,15785002.36,15785002.36
